diagnosis_id,diagnosis_code,description
1,D004,Covid-19
2,D003,Hypertension
3,D005,Flu
4,D004,Covid-19
5,D004,Covid-19
7,D005,Flu
8,D001,Asthma
9,D001,Asthma
10,D004,Covid-19
11,D002,Unknown
12,D004,Covid-19
13,D002,Diabetes
14,D001,Asthma
15,D004,Covid-19
16,D001,Asthma
17,D001,Asthma
18,D001,Asthma
19,D002,Diabetes
20,D001,Asthma
21,D005,Flu
22,D003,Hypertension
23,D005,Flu
24,D005,Flu
25,D001,Asthma
26,D003,Hypertension
27,D003,Hypertension
28,D003,Hypertension
29,D001,Asthma
30,D001,Asthma
31,D003,Hypertension
32,D002,Diabetes
33,D004,Covid-19
34,D004,Covid-19
35,D002,Diabetes
36,D001,Asthma
37,D001,Asthma
38,D001,Asthma
39,D004,Covid-19
40,D003,Hypertension
41,D004,Covid-19
42,D003,Hypertension
43,D003,Hypertension
44,D001,Asthma
45,D005,Flu
46,D005,Flu
47,D002,Unknown
48,D001,Asthma
49,D002,Unknown
50,D002,Unknown
51,D003,Hypertension
52,D005,Flu
53,D005,Flu
54,D005,Flu
55,D001,Asthma
56,D004,Covid-19
57,D003,Hypertension
58,D001,Asthma
59,D001,Asthma
60,D001,Asthma
61,D001,Asthma
62,D001,Asthma
63,D002,Diabetes
64,D001,Asthma
65,D001,Asthma
66,D003,Hypertension
67,D002,Diabetes
68,D002,Diabetes
69,D003,Hypertension
70,D005,Flu
71,D004,Covid-19
72,D005,Flu
73,D005,Flu
74,D005,Flu
75,D001,Asthma
76,D001,Asthma
77,D005,Flu
78,D002,Diabetes
80,D004,Covid-19
81,D003,Hypertension
82,D001,Asthma
83,D001,Asthma
84,D004,Covid-19
85,D003,Hypertension
86,D003,Hypertension
87,D004,Covid-19
88,D004,Covid-19
89,D003,Hypertension
90,D004,Covid-19
91,D003,Hypertension
92,D003,Hypertension
93,D001,Asthma
94,D005,Flu
95,D003,Hypertension
96,D002,Unknown
97,D005,Flu
98,D005,Flu
99,D005,Flu
100,D001,Asthma
101,D003,Hypertension
102,D001,Asthma
103,D003,Hypertension
104,D001,Asthma
105,D001,Asthma
106,D002,Diabetes
107,D001,Asthma
108,D004,Covid-19
109,D002,Diabetes
110,D001,Asthma
111,D002,Unknown
112,D004,Covid-19
113,D004,Covid-19
114,D004,Covid-19
115,D002,Diabetes
116,D001,Asthma
117,D001,Asthma
118,D005,Flu
119,D005,Flu
120,D004,Covid-19
